When: 小学校時代, Where: 該当なし, Who: 私, What: 初めて補助輪なしで自転車に乗れた, Why: 該当なし, How: 父が後ろを押さえてくれていた
When: 該当なし, Where: エレベーターの中, Who: 私, What: エレベーターのボタンを押し間違えて違う階に行ってしまった, Why: 該当なし, How: 該当なし

When: 旅行先のホテルに宿泊中, Where: ホテルの部屋, Who: 私, What: 目が覚めたら自分がどこにいるのか分からなくなった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 猫カフェ, Who: 私と猫, What: 猫に全く相手にされなかった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: キッチン, Who: 私, What: 卵を割ったら殻が混ざってしまった, Why: 強く割りすぎた, How: 該当なし

When: 該当なし, Where: 満員電車, Who: 私と見知らぬ乗客, What: 電車の揺れで知らない人に寄りかかってしまった, Why: バランスを崩したため, How: 該当なし

When: 該当なし, Where: 道, Who: 私と落し主, What: 拾った財布を交番に届けた, Why: 該当なし, How: 警察に届けた

When: 該当なし, Where: バス停, Who: 私, What: 間違えて反対方向のバスに乗ってしまい、途中で降りた, Why: バスを間違えて乗ってしまった, How: 該当なし

When: 該当なし, Where: 家, Who: 私と家族, What: 笑顔の練習をしているところを家族に目撃された, Why: 該当なし, How: 該当なし

When: 夜中, Where: コンビニ, Who: 私とパジャマ姿の客, What: パジャマ姿の人と目が合ってしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: オシャレなカフェ, Who: 私と店員, What: 緊張のあまり、違う名前を言ってしまった, Why: 緊張していたから, How: 口頭で

When: 該当なし, Where: 自宅, Who: 私, What: 目覚ましをかけ忘れて寝坊したと思ったが、今日は休日だった, Why: 目覚ましをセットするのを忘れていた, How: 該当なし

When: 該当なし, Where: エレベーター, Who: 私と他の人, What: エレベーターで降りる階を間違えてしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 友達の家, Who: 私と友達のペット, What: ペットに警戒されてしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: 間違い電話がかかってきた, Why: 該当なし, How: 電話で

When: 料理をしている時, Where: キッチン, Who: 私と家族, What: 塩と砂糖を間違えて入れてしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: 靴紐がほどけてしまった, Why: 該当なし, How: 該当なし

When: 電車内, Where: 電車の中, Who: 私と隣の席の人, What: 隣の人と同時に目が覚めた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 駅, Who: 私と知り合い, What: 知り合いを見かけたが、人混みですぐに見失ってしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 道端, Who: 私と通行人, What: 通行人に大丈夫ですかと声をかけられた, Why: しゃがんでスマホをいじっていたから, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: 鍵を探していた, Why: 該当なし, How: バッグの中をくまなく探した

When: 該当なし, Where: 該当なし, Who: 私と友達, What: 友達と全く同じスタンプを同時に送ってしまった, Why: 該当なし, How: LINEのメッセージで

When: 該当なし, Where: カフェ, Who: 私と店員, What: 店員に「おかわりはいかがですか？」と聞かれた, Why: 該当なし, How: 該当なし

When: 電車から降りた後, Where: ホーム, Who: 私, What: 電車に傘を置き忘れてきたことに気づいた, Why: 該当なし, How: 該当なし

When: 雨の日, Where: コンビニ, Who: 私, What: 傘を買ったら雨が止んだ, Why: 該当なし, How: 該当なし

When: 該当なし, Where: カラオケボックス, Who: 私, What: 一人カラオケ, Why: 該当なし, How: 該当なし

When: 旅行中, Where: ホテル, Who: 私, What: カメラの充電器を持ってくるのを忘れてしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: 買ったスマホケースのサイズが合わなかった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と友達, What: 友達と同じ歌を口ずさんでいた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 家, Who: 私, What: 昔の動画を見て自分の声にびっくりした, Why: 声が高かった, How: 該当なし

When: 該当なし, Where: カフェ, Who: 私と隣の席の客, What: 隣の席の人と同時に「すみません」と言ってしまった, Why: 該当なし, How: 該当なし

When: 誕生日, Where: 家, Who: 私と友達, What: 友達からたくさんのお祝いメッセージが届いた, Why: 誕生日だったから, How: メッセージアプリで

When: 電車から降りた後, Where: 駅の改札, Who: 私と後ろの人, What: ICカードを探していた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: くしゃみをしようとしたのにできなかった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 映画館, Who: 私と友達, What: 映画を見て泣いてしまったが、友達は泣いていなかった, Why: 映画に感動した, How: 該当なし

When: 仕事中, Where: オフィス, Who: 私, What: パソコンがフリーズしてしまった, Why: 該当なし, How: パソコンを再起動した

When: 該当なし, Where: 家, Who: 私, What: スマホを探し回った, Why: スマホをどこに置いたか分からなくなってしまった, How: 家中を探した

When: 休日, Where: 自宅, Who: 私, What: 部屋の掃除を始めた, Why: 該当なし, How: 該当なし

When: 旅行から帰る途中, Where: 空港, Who: 私, What: スーツケースが閉まらなくなってしまった, Why: お土産を買いすぎた, How: 該当なし

When: 該当なし, Where: バスの中, Who: 私, What: バスに乗り過ごしてしまった, Why: 居眠りしていた, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と友達と知らない人, What: 私たちが撮った写真に知らない人が写り込んでいた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と地元の友達, What: 地元の友達と久しぶりに再会, Why: 該当なし, How: 該当なし

When: 初めてボウリングに行った時, Where: ボーリング場, Who: 私, What: ストライクを取れた, Why: 該当なし, How: 該当なし

When: 雨が止んだ後, Where: 外, Who: 私, What: 靴が水たまりでびしょびしょになってしまった, Why: 水たまりをうまく避けれなかった, How: 該当なし

When: お気に入りの服を着ていた時, Where: 該当なし, Who: 私, What: 服に何かをこぼしてしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 電車, Who: 私, What: 閉まりかけの電車のドアに挟まれそうになった, Why: ギリギリで電車に乗ろうとしたから, How: 該当なし

When: 該当なし, Where: スーパーマーケット, Who: 私と小さな子供, What: 小さな子供に見つめられていた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: カフェ, Who: 私と友達と店員, What: カフェで長時間過ごしてしまい、追加で注文することにした, Why: 店員さんに悪いと思った, How: 該当なし

When: 旅行中, Where: レストラン, Who: 私, What: メニューが分からなくて適当に頼んだ料理が美味しかった, Why: メニューが読めなかった, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と見知らぬ人, What: くしゃみをしたのと同時に見知らぬ人と目が合った, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と親戚, What: 親戚に「大きくなった」と言われた, Why: 該当なし, How: 該当なし

When: 仕事の帰り道, Where: 本屋, Who: 私, What: ずっと探していた本を見つけることができた, Why: 該当なし, How: 該当なし

When: 電話で話している時, Where: 該当なし, Who: 私, What: 電話中に少しの間沈黙してしまった, Why: 自分の名前を言うべきか迷った, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と友達, What: 友達と食事に行く約束をしたが、まだ行けていない, Why: 予定がなかなか合わない, How: 該当なし

When: 冬の寒い朝, Where: 家, Who: 私, What: 布団から出るのがとても辛かった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 会社, Who: 私と会社の同僚, What: 仕事でミスをして落ち込んでいた時に同僚に励まされた, Why: 仕事で失敗して落ち込んでいたから, How: 同僚が言葉をかけてくれた

When: 友達の結婚式の前日, Where: 家, Who: 私, What: あまり眠ることができなかった, Why: 結婚式のスピーチのことで緊張していた, How: 該当なし

When: 夜, Where: 夜道, Who: 私, What: 突然街灯が消えた, Why: 該当なし, How: 該当なし

When: 初めて自分で料理を作った時, Where: キッチン, Who: 私, What: 作ったカレーが甘くなってしまった, Why: 砂糖と塩を間違えて入れてしまったから, How: 砂糖と塩を間違えて使用

When: 該当なし, Where: バス停, Who: 私とバスの運転手, What: 間違えたバスに乗ろうとしていたら、運転手さんに教えてもらった, Why: 該当なし, How: 運転手さんが注意してくれた

When: 該当なし, Where: 図書館, Who: 私と図書館の職員, What: 図書館で寝てしまっていて、職員の方に起こされた, Why: つい寝てしまった, How: 図書館員に声をかけられた

When: 該当なし, Where: 該当なし, Who: 私, What: 漢字を思い出せなくてスマホで調べた, Why: 漢字が出てこなかった, How: スマートフォンで検索

When: 該当なし, Where: 該当なし, Who: 私と友達, What: ゲームに負けてしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 道, Who: 私, What: 昔好きだった曲を久しぶりに聴いた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: イヤリングを片方なくしてしまった, Why: 該当なし, How: 該当なし

When: 料理をしている時, Where: キッチン, Who: 私, What: 味見をしすぎてお腹いっぱいになった, Why: 該当なし, How: 何度も味見をした

When: 該当なし, Where: 該当なし, Who: 私と友達, What: 友達とお揃いの物を買った, Why: 該当なし, How: 該当なし

When: 旅行中, Where: 観光地, Who: 私と知らない人, What: 撮った写真に知らない人が写り込んでいた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: 寝坊してしまった, Why: 目覚まし時計を止めた記憶がない, How: 該当なし

When: 該当なし, Where: 外出先, Who: 私, What: 服を裏返しに着てきてしまったことに気づいた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: ラーメン屋, Who: 私と友達, What: 友達とラーメンを食べた, Why: 該当なし, How: 該当なし

When: 帰宅途中, Where: 家の近く, Who: 私, What: スマホのバッテリー残量が1パーになったが、なんとか家に着いて充電できた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と友達, What: 友達と話が盛り上がった, Why: 該当なし, How: 該当なし

When: 電車に乗っていた時, Where: 電車内, Who: 私, What: 電車に乗り過ごしてしまった, Why: 夢中になって本を読んでいたので, How: 該当なし

When: 仕事中, Where: 職場, Who: 私, What: お客様の名前を間違えて呼んでしまった, Why: 該当なし, How: 該当なし

When: 友達の誕生日, Where: 該当なし, Who: 私と友達, What: 逆にプレゼントをもらってしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 家, Who: 私, What: 昔の日記を読み返した, Why: 該当なし, How: 該当なし

